__,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,__1,__2,__3,__4,__5,__6,__7,__8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-08-02 15:33:01.930,0,0,0,0,0,0,0,0,-32767,-1998,-8713,3009,12841,199,2,2,2,0,2,2,2,0,189,639,-8932,663,-131,189
'2017-08-02 15:33:01.940,0,0,0,0,0,0,0,0,-32767,2158,-6608,6032,8506,-6783,2,2,2,0,2,2,2,0,209,528,-8877,668,115,220
'2017-08-02 15:33:01.950,0,0,0,0,0,0,0,0,-32767,-220,-7235,2836,4208,-9604,2,2,2,0,2,2,2,0,223,735,-8802,709,386,244
'2017-08-02 15:33:01.960,0,0,0,0,0,0,0,0,-32767,-4866,-9021,694,-533,-7079,2,2,2,0,2,2,2,0,302,642,-8774,842,627,307
'2017-08-02 15:33:01.970,0,0,0,1,0,0,0,0,-25076,-4376,-17955,12770,-15521,-632,2,2,2,0,2,2,2,0,243,551,-8901,756,903,345
'2017-08-02 15:33:01.980,0,0,0,2,0,0,0,2,582,11844,-20183,5054,-23760,2267,2,2,2,0,2,2,2,0,384,824,-8911,609,1241,413
'2017-08-02 15:33:01.990,0,0,0,2,0,0,0,2,13930,6738,1235,7609,-22095,7275,2,2,2,0,2,2,2,0,312,937,-9052,648,1638,562
'2017-08-02 15:33:02.000,0,0,0,2,0,0,1,2,-4863,-898,-31318,14344,-32768,6378,2,2,2,0,2,2,1,0,570,2273,-9444,383,2165,779
'2017-08-02 15:33:02.010,0,0,0,2,1,2,2,2,-13135,-7319,-31738,14622,-29685,7179,2,2,2,0,2,2,1,0,376,887,-10000,436,2808,940
'2017-08-02 15:33:02.020,0,0,0,2,2,2,2,2,-21903,-2973,-28060,13461,-7756,1905,2,2,2,0,2,2,1,0,339,179,-10623,215,3550,1076
'2017-08-02 15:33:02.030,0,0,0,2,2,2,2,2,-11,1547,-15324,13941,-2131,-2933,2,2,2,0,2,2,1,0,314,-94,-10695,-289,4524,924
'2017-08-02 15:33:02.040,1,0,0,2,1,2,2,2,737,210,-13065,10556,-3825,898,2,2,2,0,2,2,1,0,68,470,-10825,-1159,5763,931
