½Ã°£,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z,¼¾¼­1,¼¾¼­2,¼¾¼­3,¼¾¼­4,¼¾¼­5,¼¾¼­6,¼¾¼­7,¼¾¼­8, ACC_X,ACC_Y,ACC_Z,GYZO_X,GYZO_Y,GYZO_Z
'2017-07-31 17:39:29.378,0,1,0,2,0,0,0,2,32,366,-8834,598,-356,-79,1,1,1,0,1,0,0,0,62,477,-8049,597,257,384
'2017-07-31 17:39:29.388,0,1,0,2,0,0,0,2,64,407,-8919,746,-581,-94,1,1,1,0,1,0,0,0,37,526,-8049,707,273,391
'2017-07-31 17:39:29.398,0,1,0,2,0,0,0,2,54,454,-8909,853,-696,-127,1,1,1,0,1,0,0,0,37,525,-8072,886,314,396
'2017-07-31 17:39:29.408,1,1,0,2,0,0,0,2,-25,494,-8874,1123,-895,-181,1,1,1,0,1,0,0,0,30,461,-8154,1046,388,417
'2017-07-31 17:39:29.418,1,1,0,1,0,0,0,1,-135,367,-8806,1341,-905,-256,1,1,1,0,1,0,0,0,37,476,-8217,1178,460,444
'2017-07-31 17:39:29.428,1,1,0,1,0,0,0,1,-123,220,-8800,1451,-830,-278,1,1,1,0,1,0,0,0,13,544,-8346,1327,568,486
'2017-07-31 17:39:29.438,1,1,0,1,0,0,0,1,-208,108,-8689,1457,-723,-271,1,1,1,0,1,0,0,0,72,292,-8308,1436,687,531
'2017-07-31 17:39:29.448,1,1,0,1,0,0,0,1,-147,41,-8732,1351,-617,-250,1,1,1,0,1,0,0,0,28,150,-8384,1341,737,531
'2017-07-31 17:39:29.458,1,1,0,1,0,0,0,0,-139,56,-8713,1171,-628,-209,1,1,1,0,1,0,0,0,70,176,-8363,1199,833,511
'2017-07-31 17:39:29.468,1,1,0,1,0,0,0,0,-151,73,-8750,972,-613,-177,1,1,1,0,1,0,0,0,48,107,-8377,1049,946,509
'2017-07-31 17:39:29.478,1,1,0,1,0,0,0,0,-182,85,-8762,829,-605,-152,1,1,1,0,1,0,0,0,181,-105,-8284,831,1031,460
'2017-07-31 17:39:29.488,1,1,0,1,0,0,0,0,-184,93,-8777,737,-630,-152,1,1,1,0,1,0,0,0,207,-205,-8104,567,1173,329
'2017-07-31 17:39:29.498,1,1,0,0,0,0,0,0,-206,83,-8747,627,-599,-159,1,1,1,0,1,0,0,0,260,-139,-8193,229,1331,240
'2017-07-31 17:39:29.508,1,1,0,0,0,0,0,0,-225,105,-8752,579,-603,-162,1,1,1,0,1,0,0,0,156,12,-8521,-241,1575,101
'2017-07-31 17:39:29.518,1,1,0,0,0,0,0,0,-187,133,-8814,569,-569,-182,1,1,1,0,1,0,0,0,190,-284,-8353,-282,1519,-54
