'2017-08-03 16:20:20.358,1,0,0,0,0,0,0,0,21919,-1274,-11997,-2629,-25025,-24711,2,0,0,0,0,0,0,0,957,-325,-8101,-302,58,106
'2017-08-03 16:20:20.368,0,0,0,0,0,0,0,0,10936,-5921,-5569,15033,-17163,-19091,2,0,0,0,0,0,0,0,927,-361,-8091,-381,-359,-7
'2017-08-03 16:20:20.378,0,0,0,0,0,0,0,0,7265,9795,-26825,15783,2775,-12328,2,0,0,0,0,0,0,0,832,-223,-8221,-450,-737,-117
'2017-08-03 16:20:20.388,0,0,0,0,0,0,0,0,10568,7710,-19016,15825,12339,-4958,2,0,0,0,0,0,0,0,764,-72,-8427,-364,-973,-161
'2017-08-03 16:20:20.398,0,0,0,0,0,0,0,0,9530,8131,-14447,15970,15193,-1862,1,0,0,0,0,0,0,0,692,-44,-8552,-258,-1070,-155
'2017-08-03 16:20:20.408,0,0,0,0,0,0,0,0,6319,10328,-13177,13833,15236,388,1,0,0,0,0,0,0,0,703,-94,-8595,-214,-1099,-132
'2017-08-03 16:20:20.418,0,0,0,0,0,0,0,0,9317,10532,-8799,8235,16809,2208,1,0,0,0,0,0,0,0,638,-155,-8618,-254,-1085,-142
'2017-08-03 16:20:20.428,0,0,0,0,0,0,0,0,10625,8650,-7889,2966,20175,3999,1,0,0,0,0,0,0,0,641,-190,-8505,-317,-1097,-180
'2017-08-03 16:20:20.438,0,0,0,0,0,0,0,0,10045,6329,-8520,-37,23084,6034,1,0,0,0,0,0,0,1,611,-168,-8505,-362,-1183,-219
'2017-08-03 16:20:20.448,0,0,0,0,0,0,0,0,9794,5318,-8049,-934,25125,8055,1,0,0,0,0,0,0,1,501,14,-8398,-231,-1202,-207
'2017-08-03 16:20:20.458,0,0,0,0,0,0,0,0,9321,5368,-7951,-1771,26655,9161,1,0,0,0,0,0,0,1,503,-91,-8410,-124,-1243,-154
'2017-08-03 16:20:20.468,0,0,0,0,0,0,0,0,7907,5297,-8606,-3769,27882,9219,1,0,0,1,0,0,0,1,480,-157,-8423,-91,-1318,-136
'2017-08-03 16:20:20.478,0,0,0,0,0,0,0,0,6125,3792,-9970,-6244,28925,8760,1,0,0,1,0,0,0,1,466,-154,-8462,-143,-1441,-149
'2017-08-03 16:20:20.488,0,0,0,0,0,0,0,0,4736,1723,-11580,-7302,29817,8304,0,0,0,1,0,0,0,1,397,-101,-8475,-192,-1491,-170
'2017-08-03 16:20:20.498,0,0,0,0,0,0,0,0,3954,702,-13237,-6821,30717,7997,0,0,0,1,0,0,0,1,360,-154,-8522,-206,-1469,-159
'2017-08-03 16:20:20.508,0,0,0,0,0,0,0,0,3373,994,-14892,-5784,31548,7606,0,0,0,1,0,0,0,1,333,-118,-8493,-251,-1437,-171
'2017-08-03 16:20:20.518,0,0,0,0,0,0,0,0,2203,1761,-16378,-5438,32264,6840,0,0,0,2,0,0,0,2,253,-104,-8553,-267,-1344,-133
'2017-08-03 16:20:20.528,0,0,0,0,0,0,0,0,1152,2428,-17904,-5562,32660,5821,0,0,0,2,0,0,0,2,231,-109,-8501,-248,-1204,-118
'2017-08-03 16:20:20.538,0,0,0,0,0,0,0,0,724,3018,-19435,-5793,32403,4798,0,0,0,2,0,0,0,2,104,-52,-8592,-182,-891,-131
'2017-08-03 16:20:20.548,0,0,0,0,0,0,0,0,-507,4073,-21189,-6180,32301,4215,0,0,0,2,0,0,0,2,99,-36,-8655,-62,-515,-70
'2017-08-03 16:20:20.558,0,0,0,0,0,0,0,0,-2558,5131,-23101,-7642,32499,4254,0,0,0,2,0,0,0,2,126,-102,-8627,14,-158,-2
'2017-08-03 16:20:20.568,0,0,0,0,0,0,0,0,-5376,5426,-25289,-9729,32625,4697,0,0,0,2,0,0,0,2,237,-150,-8543,15,29,18
'2017-08-03 16:20:20.578,0,0,0,0,0,0,0,0,-8540,5240,-27003,-11251,32437,5675,0,0,0,2,0,0,0,2,279,-122,-8439,-10,67,-5
'2017-08-03 16:20:20.588,0,0,0,0,0,0,0,0,-11827,5953,-28164,-12373,31369,6816,0,0,0,2,0,0,0,2,304,-132,-8339,-39,41,3
'2017-08-03 16:20:20.598,0,0,0,0,0,0,0,0,-16390,6113,-28149,-14480,29483,7125,0,0,0,2,0,0,0,2,264,-128,-8306,-84,0,-6
'2017-08-03 16:20:20.608,0,0,0,0,0,0,0,0,-23482,4021,-27889,-18246,26482,6161,1,0,0,2,0,0,1,2,73,-71,-8516,-36,129,32
'2017-08-03 16:20:20.618,0,0,0,0,0,0,0,0,-29100,-442,-27219,-20985,21851,4243,1,0,0,2,0,0,1,2,264,-148,-8604,-1,352,82
'2017-08-03 16:20:20.628,0,0,0,0,0,0,0,0,-32767,-5436,-24869,-18895,16852,2147,1,0,0,2,0,0,1,2,63,-68,-8701,21,732,96
'2017-08-03 16:20:20.638,0,0,0,0,0,0,0,0,-32740,-9169,-20422,-13727,13965,722,2,0,0,2,0,0,1,2,197,-71,-8979,145,1177,160
'2017-08-03 16:20:20.648,0,0,0,0,0,0,0,0,-32767,-12860,-14457,-7843,13081,242,2,0,0,2,0,0,1,2,201,-59,-8955,226,1578,198
'2017-08-03 16:20:20.658,0,0,0,0,0,0,0,0,-32767,-11996,-8102,-1687,10358,442,2,2,1,2,0,0,1,2,355,-65,-8734,308,1788,219
'2017-08-03 16:20:20.668,0,0,0,0,0,0,0,0,-32767,-5853,-5782,1518,5284,1166,2,2,1,2,0,0,1,2,478,-128,-8526,328,1804,226
'2017-08-03 16:20:20.678,0,0,0,0,0,0,0,0,-32767,-2360,-4291,-335,785,2312,2,2,1,2,0,0,1,1,661,-97,-8337,354,1652,189
'2017-08-03 16:20:20.688,0,0,0,0,0,0,0,0,-32720,-4012,-3956,-3321,-2947,3919,2,2,1,2,0,0,2,1,594,-167,-8163,421,1335,128
'2017-08-03 16:20:20.698,0,0,0,0,0,0,0,0,-27015,-6714,-4351,-3183,-6412,5670,2,2,1,1,0,0,2,1,652,-157,-8232,408,979,77
